archivo,antes_bytes,despues_bytes
counts/v1a/categories/finest/emigracion/20.parquet,6242,0
counts/v1a/categories/finest/emigracion/21.parquet,12930,0
counts/v1a/categories/finest/emigracion/22.parquet,9859,0
counts/v1a/categories/finest/emigracion/23.parquet,29542,0
counts/v1a/categories/finest/emigracion/24.parquet,14567,0
counts/v1a/categories/finest/hogar/01.parquet,1894668,0
counts/v1a/categories/finest/hogar/02.parquet,455655,0
counts/v1a/categories/finest/hogar/03.parquet,696473,0
counts/v1a/categories/finest/hogar/04.parquet,447096,0
counts/v1a/categories/finest/hogar/05.parquet,1008133,0
counts/v1a/categories/finest/hogar/06.parquet,1346532,0
counts/v1a/categories/finest/hogar/07.parquet,2388149,0
counts/v1a/categories/finest/hogar/08.parquet,1489505,0
counts/v1a/categories/finest/hogar/09.parquet,10963146,0
counts/v1a/categories/finest/hogar/10.parquet,1302266,0
counts/v1a/categories/finest/hogar/11.parquet,1388625,0
counts/v1a/categories/finest/hogar/12.parquet,2352573,0
counts/v1a/categories/finest/hogar/13.parquet,4622148,0
counts/v1a/categories/finest/hogar/14.parquet,557714,0
counts/v1a/categories/finest/hogar/15.parquet,337571,0
counts/v1a/categories/finest/hogar/16.parquet,253623,0
counts/v1a/categories/finest/hogar/17.parquet,6842817,0
counts/v1a/categories/finest/hogar/18.parquet,1289480,0
counts/v1a/categories/finest/hogar/19.parquet,362272,0
counts/v1a/categories/finest/hogar/20.parquet,112549,0
counts/v1a/categories/finest/hogar/21.parquet,580756,0
counts/v1a/categories/finest/hogar/22.parquet,525594,0
counts/v1a/categories/finest/hogar/23.parquet,1363903,0
counts/v1a/categories/finest/hogar/24.parquet,1648005,0
counts/v1a/categories/finest/mortalidad/01.parquet,151491,0
counts/v1a/categories/finest/mortalidad/02.parquet,43173,0
counts/v1a/categories/finest/mortalidad/03.parquet,58647,0
counts/v1a/categories/finest/mortalidad/04.parquet,39545,0
counts/v1a/categories/finest/mortalidad/05.parquet,91404,0
