clave_manzana,clave_sector,poblacion
121150001014014,121150001014,62
121150001014015,121150001014,64
121150001014016,121150001014,56
121150001014017,121150001014,14
121150001014018,121150001014,27
121150001014019,121150001014,19
121150001014020,121150001014,16
121150001014022,121150001014,15
121150001014023,121150001014,25
121150001014024,121150001014,21
121150001014025,121150001014,10
121250001009002,121250001009,54
121250001009004,121250001009,0
121250001009005,121250001009,0
121250001009006,121250001009,12
121250001009007,121250001009,5
121250001009008,121250001009,0
121350001003015,121350001003,24
130150008007006,130150008007,7
130150008007007,130150008007,20
130150008007008,130150008007,28
130150008007009,130150008007,87
130150009005003,130150009005,68
130150038002006,130150038002,0
130150038002008,130150038002,0
130150038002009,130150038002,8
130150038002010,130150038002,9
130150038002011,130150038002,0
130150038002012,130150038002,8
130150038003009,130150038003,11
130150038003010,130150038003,0
130150038004011,130150038004,19
130150038004012,130150038004,15
130150038008023,130150038008,1
130150038008025,130150038008,0
130150038008026,130150038008,0
130150038008027,130150038008,0
130150038008028,130150038008,0
130150038008029,130150038008,0
130150038008030,130150038008,0
130150039001023,130150039001,7
130150039001025,130150039001,0
130150039001026,130150039001,0
130150039009007,130150039009,55
130150043002015,130150043002,124
130150043002016,130150043002,76
130150043002017,130150043002,22
130150043002018,130150043002,5
130150043002019,130150043002,9
130150043002020,130150043002,11
130150043004013,130150043004,6
130150043004014,130150043004,4
130150043004015,130150043004,17
130150043004016,130150043004,4
130150043004017,130150043004,13
130150043004018,130150043004,28
130150043004019,130150043004,14
130150043004020,130150043004,7
130150043004021,130150043004,19
130150043004022,130150043004,21
130150043004023,130150043004,13
130153001007006,130153001007,28
130153001008007,130153001008,0
130153003006004,130153003006,7
130153003006005,130153003006,13
130153907001011,130153907001,166
130153907001012,130153907001,4
130153907001013,130153907001,21
130153907001014,130153907001,27
130153907001015,130153907001,80
130153907001016,130153907001,18
130153907001017,130153907001,63
130153907001019,130153907001,8
130155901003007,130155901003,24
130250004010003,130250004010,83
130250005007006,130250005007,68
130250005007007,130250005007,2
130250005007008,130250005007,0
130250005007010,130250005007,3
130250005007011,130250005007,0
130250005007012,130250005007,0
130350001001006,130350001001,67
130350001010009,130350001010,12
130350006005003,130350006005,19
130350006005004,130350006005,76
130350006005005,130350006005,107
130350006005006,130350006005,14
130350006005007,130350006005,107
130350006005008,130350006005,21
130350006008005,130350006008,16
130350006008006,130350006008,19
130350006008007,130350006008,18
130350006008008,130350006008,21
130350006008009,130350006008,9
130350006008010,130350006008,25
130350006008011,130350006008,14
130350007010012,130350007010,3
130350007010013,130350007010,23
130350007010014,130350007010,29
130350007010015,130350007010,5
130350007010016,130350007010,14
130350007010017,130350007010,0
130350007010018,130350007010,20
130350013002005,130350013002,29
130352001005005,130352001005,60
130354001001034,130354001001,7
130354001001035,130354001001,6
130354001001036,130354001001,17
130354001001037,130354001001,19
130354001001038,130354001001,16
130357001002004,130357001002,112
130357921001013,130357921001,9
130450001006009,130450001006,31
130450001006010,130450001006,89
130450002009010,130450002009,6
130450002009011,130450002009,0
130450002009012,130450002009,16
130450002009013,130450002009,49
130450002009018,130450002009,0
130450002009019,130450002009,4
130450002009024,130450002009,0
130450002009025,130450002009,3
130450002009028,130450002009,0
130450002009036,130450002009,0
130450002009037,130450002009,9
130450004011025,130450004011,10
130450004011026,130450004011,29
130450004011027,130450004011,9
130450004011028,130450004011,25
130450004011029,130450004011,17
130450004011030,130450004011,21
130450004011031,130450004011,42
130450004011032,130450004011,17
130450004011033,130450004011,38
130450007010007,130450007010,22
130450007010008,130450007010,15
130450010005028,130450010005,5
130450010005029,130450010005,0
130450010005030,130450010005,19
130450010005031,130450010005,18
130450010005032,130450010005,0
130450010010017,130450010010,8
130450013001006,130450013001,20
130450013001007,130450013001,9
130450013001008,130450013001,8
130450013010007,130450013010,1
130450013010010,130450013010,0
130450013010012,130450013010,0
130450013010013,130450013010,4
130454001003024,130454001003,25
130454001003025,130454001003,46
130551001001019,130551001001,16
130551001001020,130551001001,26
130650009009015,130650009009,13
130650009009016,130650009009,21
130650009009017,130650009009,8
130650011006012,130650011006,8
130650011006013,130650011006,1
130650011006014,130650011006,4
130650011006016,130650011006,8
130650011006017,130650011006,5
130650011006018,130650011006,9
130650011006019,130650011006,3
130650011008032,130650011008,36
130650011008033,130650011008,6
130658001001043,130658001001,2
130658001001044,130658001001,0
130658001001046,130658001001,0
130658001001055,130658001001,0
130658001001056,130658001001,0
130658001001061,130658001001,1
130658001002027,130658001002,0
130658001002029,130658001002,0
130658001002032,130658001002,0
130658001002034,130658001002,0
130658001002045,130658001002,0
130658001002047,130658001002,0
130658001002049,130658001002,0
130658001002051,130658001002,0
130658001002062,130658001002,1
130658001002063,130658001002,0
130658001002065,130658001002,0
130658001002074,130658001002,0
130658001002080,130658001002,0
130658001009036,130658001009,0
130658001009056,130658001009,0
130658001010046,130658001010,0
130658001012014,130658001012,3
130750002002015,130750002002,1
130750002002024,130750002002,1
130850014010010,130850014010,12
130850014010011,130850014010,3
130850037008006,130850037008,25
130850037008007,130850037008,14
130850037008008,130850037008,0
130850037008010,130850037008,21
130850059010023,130850059010,13
130850059010024,130850059010,21
130850062007023,130850062007,7
130850062007024,130850062007,24
130850062007025,130850062007,21
130850902002011,130850902002,13
130850902002012,130850902002,15
130851907001017,130851907001,26
130851907001018,130851907001,13
130851907001020,130851907001,30
130851907001021,130851907001,14
130851907002013,130851907002,3
130851907002014,130851907002,2
130851907002015,130851907002,1
130851907002016,130851907002,6
130851907002017,130851907002,23
130851907002018,130851907002,71
130851907002019,130851907002,20
130851907002022,130851907002,0
130851907002023,130851907002,44
130851907002024,130851907002,3
130851910009001,130851910009,8
130851910009002,130851910009,42
130851910009003,130851910009,7
130851910009004,130851910009,2
130851910009005,130851910009,0
130851910009006,130851910009,13
130851910009008,130851910009,0
130851910009009,130851910009,0
130851910009010,130851910009,0
130851910009011,130851910009,0
130851910009012,130851910009,0
130852001004007,130852001004,114
130950015002025,130950015002,0
130950015002029,130950015002,0
130950015002032,130950015002,0
130950914004013,130950914004,2
130950916009012,130950916009,3
130950916009013,130950916009,0
130950916009016,130950916009,3
130950916009017,130950916009,13
130950916009020,130950916009,2
131152001002011,131152001002,14
131350003008005,131350003008,27
131453903006010,131453903006,10
131453903006011,131453903006,2
131453903006012,131453903006,0
131453903006014,131453903006,0
131453903006016,131453903006,0
131453903006017,131453903006,0
131453903006018,131453903006,0
131457001001021,131457001001,22
131457001008013,131457001008,9
131457928001015,131457928001,23
131457928001016,131457928001,0
131550002009008,131550002009,11
131550002009009,131550002009,8
131550002009010,131550002009,4
131550002009011,131550002009,8
131550002009012,131550002009,23
131550002009013,131550002009,6
131550002009014,131550002009,16
131550002009015,131550002009,2
131550002009016,131550002009,22
131550002009017,131550002009,29
131550002009018,131550002009,33
131550002009020,131550002009,14
131550002009021,131550002009,21
131550002009022,131550002009,9
131550002009024,131550002009,19
131550002009025,131550002009,11
131550002009026,131550002009,17
131550002009027,131550002009,31
131550002009028,131550002009,30
131550002009029,131550002009,3
131550002009030,131550002009,11
131550002009031,131550002009,36
131550002009032,131550002009,7
131550002009033,131550002009,16
131550002009034,131550002009,33
131550002009035,131550002009,14
131550002009036,131550002009,4
131550002010012,131550002010,35
131550002010013,131550002010,16
131550002010014,131550002010,13
131550002010015,131550002010,23
131550002010016,131550002010,14
131550002010017,131550002010,3
131550002010018,131550002010,9
131550002010019,131550002010,5
131550002010020,131550002010,11
131550002010021,131550002010,6
131550002010022,131550002010,8
131750005005007,131750005005,2
131750005005009,131750005005,9
131750005008010,131750005008,39
131750005008011,131750005008,33
131750005008012,131750005008,26
131750005009016,131750005009,18
131750005009017,131750005009,0
131750005009018,131750005009,0
131750005010008,131750005010,0
131750005010010,131750005010,39
131750005010011,131750005010,0
131750005010012,131750005010,10
131950001002027,131950001002,21
131950001002028,131950001002,4
131950001002029,131950001002,10
131950001002030,131950001002,35
131950001003018,131950001003,9
131952001005015,131952001005,9
131952001005016,131952001005,0
131952902001018,131952902001,10
131952902001020,131952902001,15
131952905001020,131952905001,22
131952905004014,131952905004,14
131952905004016,131952905004,2
131952907001021,131952907001,0
131952907001022,131952907001,0
131952907001023,131952907001,0
131952907001024,131952907001,0
131952907001025,131952907001,8
131952907001026,131952907001,0
131952908001010,131952908001,0
131952908001011,131952908001,8
132050001006028,132050001006,35
132150001003023,132150001003,3
132150001003024,132150001003,0
132150001003025,132150001003,23
132150005002016,132150005002,26
132150005002017,132150005002,15
132150005005026,132150005005,8
132150005008038,132150005008,8
132150005008039,132150005008,16
132150005008041,132150005008,3
132150005008043,132150005008,9
140150001005015,140150001005,33
140150001005016,140150001005,32
140150001005017,140150001005,49
140150001005018,140150001005,73
140150001006017,140150001006,10
140150001006018,140150001006,30
140150001006019,140150001006,12
140150001006020,140150001006,23
140150001006021,140150001006,47
140150001006023,140150001006,23
140150001006024,140150001006,30
140150001006025,140150001006,17
140150008002009,140150008002,3
140150008002010,140150008002,26
140250003008036,140250003008,13
140250003008037,140250003008,2
140255903001025,140255903001,5
140255903001026,140255903001,1
140553001002017,140553001002,24
140556001001021,140556001001,3
140556001001022,140556001001,0
140556001002026,140556001002,0
140556001002027,140556001002,0
140650001002020,140650001002,9
140650001004007,140650001004,81
140650001006017,140650001006,11
140650001010001,140650001010,158
140650001010002,140650001010,115
140650001010003,140650001010,104
140650001010004,140650001010,16
140650001010005,140650001010,22
140650001010007,140650001010,0
140650001010008,140650001010,17
140650001010009,140650001010,25
140650002001012,140650002001,7
140650002002017,140650002002,18
140650002006013,140650002006,39
140650003005009,140650003005,4
140650907001038,140650907001,9
140651001001023,140651001001,22
140652001002017,140652001002,9
140751904001015,140751904001,12
150154001001023,150154001001,45
150350001002019,150350001002,0
150350001006016,150350001006,19
150350001007017,150350001007,21
150750001002004,150750001002,10
150754001002015,150754001002,13
150754001002016,150754001002,2
150754001002017,150754001002,0
150754001002018,150754001002,10
150754001002019,150754001002,16
150754001002021,150754001002,8
150754001002022,150754001002,9
150754001002026,150754001002,0
160150001003008,160150001003,31
160150001003009,160150001003,27
160150001003010,160150001003,26
160150001003011,160150001003,23
160150001004012,160150001004,40
160150003006002,160150003006,102
160150008002004,160150008002,14
160150008002005,160150008002,44
160150012007008,160150012007,19
160150012007009,160150012007,72
160150013001004,160150013001,264
160150013001005,160150013001,70
160150013001006,160150013001,38
160150013001007,160150013001,28
160150013004004,160150013004,5
160152001001035,160152001001,36
160155001001015,160155001001,49
160163918001019,160163918001,8
160163918001020,160163918001,0
160163918001021,160163918001,0
160163918001022,160163918001,7
160163918001023,160163918001,12
160163918001024,160163918001,22
160163918001025,160163918001,0
160163918001026,160163918001,11
160165001001016,160165001001,21
160165001001017,160165001001,14
160165001002012,160165001002,6
160252001001049,160252001001,0
160350001004031,160350001004,14
160350001004032,160350001004,1
160350001004033,160350001004,23
160450001002028,160450001002,16
170150054009002,170150054009,93
170150387006005,170150387006,16
170150387006006,170150387006,28
170150443011006,170150443011,24
170150456011002,170150456011,104
170150458011001,170150458011,3
170150458011002,170150458011,47
170150458011003,170150458011,71
170150458011004,170150458011,102
170150458011005,170150458011,98
170150476006003,170150476006,298
170155004007005,170155004007,43
170155004007006,170155004007,6
170155004007007,170155004007,186
170155004007008,170155004007,29
170155005008009,170155005008,12
170155006007008,170155006007,69
170155006009001,170155006009,58
170155006009002,170155006009,13
170155006009003,170155006009,17
170155006009004,170155006009,16
170155006009005,170155006009,0
170155006009007,170155006009,0
170155006009008,170155006009,0
170155006009009,170155006009,12
170155006009013,170155006009,10
170155006009015,170155006009,9
170155006009016,170155006009,2
170155006009017,170155006009,26
170155006009021,170155006009,0
170155006009022,170155006009,3
170155006009023,170155006009,2
170155006009024,170155006009,23
170155006009025,170155006009,24
170155006009026,170155006009,0
170155006009028,170155006009,30
170155006009030,170155006009,27
170155006009031,170155006009,43
170155006009032,170155006009,30
170155006009033,170155006009,15
170155006009034,170155006009,10
170155006009040,170155006009,3
170155006009042,170155006009,5
170155006009043,170155006009,17
170155006009044,170155006009,10
170155006009045,170155006009,15
170155006009046,170155006009,4
170155006009047,170155006009,4
170155009012009,170155009012,52
170155009012010,170155009012,115
170155012012004,170155012012,371
170155012012005,170155012012,21
170155019009006,170155019009,34
170155019009007,170155019009,97
170155019009008,170155019009,27
170155024009005,170155024009,16
170156018009009,170156018009,5
170156018009010,170156018009,32
170156018009011,170156018009,23
170156018009012,170156018009,3
170160907006009,170160907006,75
170177905002001,170177905002,113
170177905002002,170177905002,66
170177905002004,170177905002,63
170350001005014,170350001005,2
170352001010010,170352001010,54
170352002007003,170352002007,58
170353003013002,170353003013,0
170353003013003,170353003013,9
170353003013006,170353003013,8
170353003013007,170353003013,15
170353003013011,170353003013,1
170353003013014,170353003013,6
170353003013015,170353003013,13
170353003013016,170353003013,0
170353003013017,170353003013,6
170353003013019,170353003013,4
170353003013021,170353003013,0
170353003013022,170353003013,31
170353003013023,170353003013,38
170353003013024,170353003013,0
170353003013027,170353003013,0
170353003013028,170353003013,4
170353003013032,170353003013,12
170353003013033,170353003013,34
170353003013034,170353003013,0
170353003013035,170353003013,6
170353003013036,170353003013,0
170353003013037,170353003013,13
170550015010001,170550015010,36
170550015010003,170550015010,4
170550015010004,170550015010,65
170550015010005,170550015010,21
170550015010006,170550015010,31
170550015010007,170550015010,16
170550015010008,170550015010,32
170550015010009,170550015010,60
170550015010010,170550015010,17
170550015010011,170550015010,39
170550015010012,170550015010,43
170550015010015,170550015010,11
170550015011001,170550015011,10
170550015011002,170550015011,25
170550015011003,170550015011,7
170550015011004,170550015011,2
170550015011005,170550015011,5
170550015011006,170550015011,19
170550015011007,170550015011,32
170550015011008,170550015011,11
170550015011009,170550015011,324
170550015011010,170550015011,6
170550015011011,170550015011,2
170550015011012,170550015011,11
180150006009007,180150006009,64
180150007004005,180150007004,12
180150054007006,180150054007,7
180150904004006,180150904004,32
180150904004007,180150904004,25
180156001005014,180156001005,6
180156001006002,180156001006,22
180156002007004,180156002007,23
180156002007005,180156002007,36
180156003010005,180156003010,25
180165003007006,180165003007,12
180165003008021,180165003008,6
180254001003017,180254001003,1
180850001002005,180850001002,1
180850001008011,180850001008,37
180852001002015,180852001002,10
180852001002016,180852001002,3
190150006009003,190150006009,15
190150006009004,190150006009,0
190150006009005,190150006009,4
190150006009006,190150006009,11
190150006009007,190150006009,9
190150006009008,190150006009,29
190150006009009,190150006009,1
190150006009010,190150006009,6
190150006009011,190150006009,12
190150006009012,190150006009,12
190150006009013,190150006009,8
190150006009014,190150006009,19
190150006009015,190150006009,1
190150006009016,190150006009,7
190150006009017,190150006009,0
190150006009018,190150006009,0
190150006009019,190150006009,12
190150006009020,190150006009,20
190150006009021,190150006009,23
190150006009022,190150006009,5
190150006009023,190150006009,7
190150006009024,190150006009,18
190150006009025,190150006009,37
190150006009026,190150006009,0
190150007005014,190150007005,9
190156001001014,190156001001,24
190156001002014,190156001002,17
190350001004021,190350001004,0
190350001004022,190350001004,0
190350001004023,190350001004,0
190350001004024,190350001004,0
190350001004025,190350001004,0
190550001003026,190550001003,0
190550001003027,190550001003,12
190550002009001,190550002009,0
190550002009002,190550002009,0
190550002009003,190550002009,0
190550002009004,190550002009,0
190550002009005,190550002009,0
190550002009006,190550002009,0
190550002009007,190550002009,0
190550002009008,190550002009,0
190550002009013,190550002009,0
190550002009014,190550002009,0
190550002009015,190550002009,0
190550002009017,190550002009,14
190550002009018,190550002009,23
190550002009019,190550002009,9
190550002009020,190550002009,29
190551001001018,190551001001,18
190650001010018,190650001010,23
190650001010019,190650001010,19
190650002002020,190650002002,32
190650002003036,190650002003,9
190753001001019,190753001001,4
190753001002027,190753001002,2
190753001002028,190753001002,30
190753001002029,190753001002,0
190950001003043,190950001003,11
190950001003044,190950001003,4
190952001001020,190952001001,8
190952001001021,190952001001,6
210150018007006,210150018007,30
210150018007007,210150018007,102
210150018007008,210150018007,6
210150018008022,210150018008,38
210150018008023,210150018008,17
210150018008025,210150018008,16
210158911001006,210158911001,240
210158911001007,210158911001,39
210158911002018,210158911002,14
210450001002019,210450001002,13
210450001002020,210450001002,27
210450001002021,210450001002,12
210455001002033,210455001002,9
210750001001025,210750001001,15
210752001001027,210752001001,29
220150001003011,220150001003,46
220150001004014,220150001004,13
220150001004015,220150001004,13
220150002003017,220150002003,10
220150002004009,220150002004,20
220150004001039,220150004001,11
220150004001040,220150004001,22
220150004001041,220150004001,44
220150004001042,220150004001,64
220150004001043,220150004001,34
220150004001044,220150004001,35
220150004001045,220150004001,50
220150004001046,220150004001,169
220150004001047,220150004001,29
220150004001048,220150004001,33
220150004001049,220150004001,55
220150004001050,220150004001,64
220150004008014,220150004008,35
220150011001004,220150011001,19
220150011002014,220150011002,62
220154909001002,220154909001,8
220154909001003,220154909001,21
220154909001004,220154909001,12
220154909001005,220154909001,15
220154909001006,220154909001,15
220154909001007,220154909001,17
220154909001008,220154909001,23
220154909001009,220154909001,15
220154909001010,220154909001,20
220154909001011,220154909001,4
220154909001012,220154909001,31
220154909001013,220154909001,43
220154909001014,220154909001,27
220350002001018,220350002001,29
220350005007014,220350005007,62
220350007005017,220350007005,26
220358001001016,220358001001,51
230150015005008,230150015005,9
230150016002004,230150016002,56
230150016002005,230150016002,60
230150016005006,230150016005,4
230150016005007,230150016005,38
230150016005008,230150016005,10
230150016005009,230150016005,4
230150016005010,230150016005,9
230150016005011,230150016005,17
230150016005012,230150016005,51
230150016005013,230150016005,18
230150016005014,230150016005,10
230150016005015,230150016005,1
230150028002013,230150028002,32
230150028002014,230150028002,0
230150028002015,230150028002,9
230150028002016,230150028002,12
230150028002017,230150028002,26
230150078010015,230150078010,7
230150086001031,230150086001,16
230150086001033,230150086001,9
230150086001034,230150086001,1
230150086001035,230150086001,7
230150086001038,230150086001,0
230155001005013,230155001005,25
230253001001011,230253001001,172
240150013008048,240150013008,0
240150013008049,240150013008,0
240150013008050,240150013008,0
240150013008051,240150013008,2
240150013008053,240150013008,0
240150013008054,240150013008,0
240150013010055,240150013010,0
240150013010056,240150013010,1
240150013010057,240150013010,0
240150013010058,240150013010,0
240150013010059,240150013010,4
240150013010061,240150013010,0
240150013010062,240150013010,0
240150013010064,240150013010,0
240150013010065,240150013010,0
240150013010066,240150013010,0
240150013010068,240150013010,0
240150013010069,240150013010,0
240150013010070,240150013010,0
240150013010071,240150013010,0
240150013010074,240150013010,0
240150013010075,240150013010,0
240150013010076,240150013010,0
240150013010077,240150013010,0
240150013010079,240150013010,0
240150013010080,240150013010,0
240150013010081,240150013010,0
240150013010082,240150013010,0
240150013010083,240150013010,0
240150013011001,240150013011,17
240150013011002,240150013011,7
240150013011003,240150013011,15
240150013011004,240150013011,9
240150013011005,240150013011,19
240150013011006,240150013011,27
240150013011007,240150013011,11
240150013011008,240150013011,18
240150013011009,240150013011,0
240150013011010,240150013011,13
240150013011011,240150013011,0
240150013012001,240150013012,4
240150013012002,240150013012,6
240150013012003,240150013012,9
240150013012004,240150013012,2
240150013012005,240150013012,5
240150013012006,240150013012,7
240150013012007,240150013012,8
240150013012008,240150013012,0
240150013012009,240150013012,9
240150013012010,240150013012,11
240150013012012,240150013012,10
240150013013002,240150013013,3
240150013013003,240150013013,10
240150013013004,240150013013,18
240150013013005,240150013013,19
240150013013006,240150013013,19
240150013013007,240150013013,0
240150013013009,240150013013,4
240150013013010,240150013013,7
240150013013011,240150013013,20
240150013013012,240150013013,12
240150013013013,240150013013,8
240150013013014,240150013013,1
240150013013015,240150013013,0
240150013013016,240150013013,0
240150013014002,240150013014,7
240150013014003,240150013014,15
240150013014004,240150013014,0
240150013014005,240150013014,0
240150013014006,240150013014,16
240150013014007,240150013014,0
240150013014008,240150013014,9
240150013014010,240150013014,6
240150013014011,240150013014,0
240150013014012,240150013014,2
240150013014013,240150013014,0
240150013014014,240150013014,1
240150013014015,240150013014,1
240150013014016,240150013014,5
240150013014017,240150013014,0
240150013014018,240150013014,5
240150013014019,240150013014,27
240150013014020,240150013014,14
240150013014021,240150013014,33
240150013014022,240150013014,11
240351001007042,240351001007,23
240351001007045,240351001007,16
240351001007046,240351001007,25
240351001007047,240351001007,15
240351001007049,240351001007,13
240351001007050,240351001007,28
240351001007051,240351001007,20
240351001007052,240351001007,0
240351001007053,240351001007,17
