clave_manzana,clave_sector,poblacion
070750019003008,070750019003,0
070750019003009,070750019003,18
070750019003010,070750019003,1
070750019003011,070750019003,0
070750019003013,070750019003,2
070750019003014,070750019003,0
070750019003015,070750019003,6
070750019003016,070750019003,18
070750019003017,070750019003,2
070750019003018,070750019003,0
070750019003019,070750019003,13
070750019003020,070750019003,0
070750019003022,070750019003,0
070750019003023,070750019003,7
070750019003024,070750019003,4
070750019003025,070750019003,1
070750019003026,070750019003,7
070750019003027,070750019003,2
070750019003028,070750019003,0
070750019003029,070750019003,0
070750019003030,070750019003,0
070750019004001,070750019004,39
070750019004002,070750019004,26
070750019004003,070750019004,17
070750019004004,070750019004,0
070750019004005,070750019004,4
070750019004006,070750019004,12
070750019004007,070750019004,10
070750019004008,070750019004,4
070750019004009,070750019004,8
070750019004010,070750019004,0
070750019004011,070750019004,0
070750019004012,070750019004,0
070750019004013,070750019004,0
070750019004014,070750019004,8
070750019004015,070750019004,5
070750019004016,070750019004,1
070750019004017,070750019004,8
070750019004018,070750019004,12
070750019005001,070750019005,6
070750019005004,070750019005,24
070750019005005,070750019005,18
070750019005006,070750019005,17
070750019005007,070750019005,11
070750019005008,070750019005,15
070750019005009,070750019005,4
070750019005010,070750019005,8
070750019005011,070750019005,9
070750019005012,070750019005,11
070750019005013,070750019005,9
070750019005014,070750019005,17
070750019005015,070750019005,8
070750019005016,070750019005,0
070750019005017,070750019005,0
070750019005018,070750019005,0
070750019005019,070750019005,0
070750019005020,070750019005,7
070750019005021,070750019005,5
070750019005022,070750019005,10
070750019005023,070750019005,0
070750019005024,070750019005,0
070750019005025,070750019005,11
070750019005026,070750019005,0
070750019006001,070750019006,9
070750019006002,070750019006,8
070750019006003,070750019006,8
070750019006004,070750019006,3
070750019006005,070750019006,0
070750019006006,070750019006,0
070750019006007,070750019006,0
070750019006014,070750019006,0
070750019006015,070750019006,0
070750019006016,070750019006,1
070750019006017,070750019006,0
070750019006018,070750019006,0
070750019006019,070750019006,0
070750019006020,070750019006,6
070750019006021,070750019006,0
070750019006022,070750019006,0
070750019006024,070750019006,0
070750019006031,070750019006,0
070750019006032,070750019006,0
070750019006033,070750019006,0
070750019006034,070750019006,0
070750019006035,070750019006,7
070750019006036,070750019006,1
070750019006037,070750019006,0
070750019006038,070750019006,0
070750019006040,070750019006,0
070750019006042,070750019006,6
070750019006043,070750019006,16
070750019006045,070750019006,0
070750019007001,070750019007,0
070750019007002,070750019007,0
070750019007003,070750019007,0
070750019007005,070750019007,0
070750019007006,070750019007,10
070750019007008,070750019007,6
070750019007009,070750019007,0
070750019007010,070750019007,3
070750019007011,070750019007,0
070750019007012,070750019007,0
070750019007013,070750019007,4
070750019007014,070750019007,0
070750019007015,070750019007,0
070750019007017,070750019007,0
070750019007018,070750019007,0
070750019007019,070750019007,4
070750019007020,070750019007,0
070750019007021,070750019007,0
070750019007022,070750019007,0
070750019007023,070750019007,5
070750019007024,070750019007,0
070750019007026,070750019007,0
070750019007027,070750019007,0
070750019007029,070750019007,0
070750019007030,070750019007,6
070750019007031,070750019007,10
070750019007032,070750019007,0
070750019007033,070750019007,0
070750019007034,070750019007,6
070750019007035,070750019007,4
070750019007036,070750019007,0
070750019007037,070750019007,1
070750019007038,070750019007,5
070750019007039,070750019007,9
070750019007040,070750019007,0
070750019008001,070750019008,5
070750019008002,070750019008,7
070750019008003,070750019008,0
070750019008007,070750019008,0
070750019008008,070750019008,4
070750019008009,070750019008,0
070750019008010,070750019008,0
070750019008012,070750019008,12
070750019008013,070750019008,9
070750019008014,070750019008,16
070750019008015,070750019008,18
070750019008016,070750019008,9
070750019008017,070750019008,14
070750019008018,070750019008,12
070750019008019,070750019008,0
070750019008020,070750019008,11
070750019008023,070750019008,1
070750019008025,070750019008,1
070850001001017,070850001001,118
070950008004052,070950008004,6
070950008008023,070950008008,7
070950017001023,070950017001,0
070950017001026,070950017001,0
070950017001027,070950017001,0
070950017001028,070950017001,0
070951001001011,070951001001,22
070951001003008,070951001003,62
070951001003009,070951001003,11
070951001004025,070951001004,0
070954001001020,070954001001,0
070954001001021,070954001001,3
070954001001022,070954001001,5
070954001002011,070954001002,11
070954001002012,070954001002,7
070954001002013,070954001002,6
070954001002014,070954001002,0
070954001002015,070954001002,1
071050001003011,071050001003,7
071250002001007,071250002001,5
071250003001027,071250003001,2
071250003005009,071250003005,71
071250004003008,071250004003,26
071250007006014,071250007006,12
071250018006031,071250018006,0
071250018006032,071250018006,0
071250018006033,071250018006,0
